Cate Blanchett
Natalie Portman
Uma Thurman
Helena Bonham Carter
Frances McDormand
Meryl Streep
Sigourney Weaver
Charlize Theron
Julianne Moore
Robin Wright
Jodie Foster
Rachel McAdams
Emma Stone
Ellen Burstyn
Saoirse Ronan
Marlene Dietrich
Nicole Kidman
Sally Hawkins
Jennifer Lawrence
Marilyn Monroe
Julie Delpy
Keira Knightley
Adèle Exarchopoulos
Anne Hathaway
Kim Novak
Ingrid Bergman
Amy Adams
Margot Robbie
Mélanie Laurent
Emma Watson
Jennifer Connelly
Kate Winslet
Marion Cotillard
Shelley Duvall
Diane Kruger
Mia Farrow
Bette Davis
Jennifer Jason Leigh
Hilary Swank
Alicia Vikander
Jessica Chastain
Julia Roberts
Bibi Andersson
Vivien Leigh
Eva Green
Audrey Tautou
Léa Seydoux
Tilda Swinton
Milla Jovovich
Faye Dunaway
Scarlett Johansson
Angelina Jolie
Brie Larson
Rosamund Pike
Anna Kendrick
Carey Mulligan
Janet Leigh
Liv Ullmann
Diane Keaton
Julia Louis-Dreyfus
Emily Blunt
Amanda Plummer
Felicity Jones
Virginia Cherrill
Grace Kelly
Gloria Swanson
Talia Shire
Viola Davis
Naomi Watts
Carrie Fisher
Maggie Smith
Vera Farmiga
Hailee Steinfeld
Elizabeth Olsen
Elliot Page
Sharon Stone
Rooney Mara
Daisy Ridley
Kim Basinger
Elizabeth Banks
Lauren Cohan
Emmy Rossum
Kate Mara
Olga Kurylenko
Demi Moore
Joan Allen
Chloë Grace Moretz
Blake Lively
Rachel Weisz
Kaya Scodelario
Katherine Parkinson
Michelle Pfeiffer
Maggie Gyllenhaal
Katheryn Winnick
Evangeline Lilly
Octavia Spencer
Alyson Hannigan
Cameron Diaz
Jennifer Aniston
Kirsten Dunst
