animal, mammal
canine, canid
domestic dog, canine
feline, felid
wolf, canis
horse, equid
humanoid, humanoid
reptile, scalie
horse, equine
domestic cat, feline
humanoid, human
vulpine, fox
dragon, dragon
canine, domestic dog
lupine, wolf
domestic cat, felis
feline, domestic cat
rabbit, lagomorph
scaly, reptile
rabbit, leporid
lagomorph, rabbit
equine, horse
feline, pantherine
bird, avian
goat, bovid
humanoid, animal humanoid
mixed, hybrid
murid, rodent
equine, pony
fish, marine
avian, bird
equine, unicorn
ursine, bear
humanoid, mammal humanoid
goat, caprine
demonic, demon
pantherine, tiger
equine, pegasus
equine, earth pony
marine, fish
cervine, deer
extraterrestrial, alien
insect, arthropod
rodent, murid
rodent, murine
cattle, bovine
weasel, mustelid
machine, robot
feline, lion
chiropteran, bat
reptile, lizard
canine, spitz
pegasus, winged unicorn
selachian, shark
insectivore, eulipotyphlan
caprine, goat
vulpine, red fox
serpent, snake
Erinaceinae, hedgehog
murine, mouse
pouched, marsupial
catfolk, felid humanoid
raccoon, procyonid
prehistoric, dinosaur
creature, monster
Hyaenidae, hyena
procyonid, raccoon
insect, insect
squirrel, sciurid
husky, nordic sled dog
herding, pastoral dog
catfolk, feline humanoid
herding, herding dog
shapeshifter, were
dragon, western dragon
nordic sled dog, husky
catfolk, cat humanoid
shapeshifter, werecanid
dogfolk, canid humanoid
legendary bird, mythological avian
lutrine, otter
mustelid, musteline
dogfolk, canine humanoid
elemental, elemental creature
crocodile, crocodilian
dragon, furred dragon
ovine, sheep
skunk, mephitid
murine, rat
mephitid, skunk
bear, ursine
shapeshifter, werecanine
fox, fennec
pig, suina
red panda, ailurid
shapeshifter, werewolf
ailurid, red panda
monkey, primate
robotic, animatronic
pig, suid
mythical, gryphon
natural, flora fauna
hunter, hunting dog
pig, sus \(pig\)
squirrel, tree squirrel
canid, raccoon dog
hyena, spotted hyena
mythical, kobold
mythical, tanuki
unidentified, unknown
formidable, boss monster
canid, jackal
bear, giant panda
aquatic, amphibian
dinosaur, theropod
feline, lynx
humanoid, elf
feline, snow leopard
shellfish, mollusk
feline, cheetah
mythical, horned humanoid
supernatural, spirit
demonic, canid demon
amorphous, goo creature
kangaroo, macropod
fowl, galliform
demonic, hellhound
fowl, phasianid
mythical, koopa
dog, german shepherd
mustelid, true musteline
feline, leopard
anthropomorphic, animate inanimate
hybrid, taur
deer, capreoline
fox, fox humanoid
